Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Additional comments
MSVD	1	_o1UXSxTjfo_68_80	The video shows a man vendor distributing bags to a crowd of people	A man seller, surrounded by people offering him money, hands a bag to a woman	00:00:00	00:00:04	Outside, in a street, in front of a closed shutter	The man is talking to the crowd	00:00:04	00:00:08	Outside, in a street, in front of a closed shutter	The man is putting something in a bag	00:00:08	00:00:12	Outside, in a street, in front of a closed shutter																																					
MSVD	1	4lXdVS697DQ_10_25	The video shows two persons sailing a sailboat on the open sea.	Two persons sails a sailboat on the open sea.	00:00:00	00:00:15	Outside, open sea																																													
MSVD	1	16iNk1hLJt4_37_40	The video shows the start of a running race from earlier times.	Several runners and a race starter are at the starting point of a running race	00:00:00	00:00:03	Outside, track of a stadium																																													
MSVD	1	b-d-CxHaKGU_10_30	The video shows a man explaining some math or physics problem depicted on a white board	A man with a necktie is explaining some math or physics problem depicted on a white board	00:00:00	00:00:03	Inside, in front of a whiteboard	The man uses a large white ruler to point something on the whiteboard	00:00:03	00:00:13	Inside, in front of a whiteboard	The man continues to explain using the whiteboard with now shows additional information	00:00:13	00:00:20	Inside, in front of a whiteboard																																					
MSVD	1	bXsKw3TOQXs_30_55	The video shows a close-up of two hands folding a small piece of paper	Close-up of two hands folding a piece of squared paper in half	00:00:00	00:00:05	Inside, close-up of a table	The paper is then folded in half again, this time from the opposite side.	00:00:05	00:00:10	Inside, close-up of a table	The paper is now folded to form a triangle	00:00:10	00:00:18	Inside, close-up of a table	The paper is folded to form a triangle from the opposite part	00:00:18	00:00:25	Inside, close-up of a table																																	
MSVD	1	H1Bok7Dg7g8_21_26	The video shows an anthropomorphic puppet talking on a phone	A colorful anthropomorphic puppet is talking on a red phone	00:00:00	00:00:05	Inside, a scene of a colorful room designed to appear of a child																																													
MSVD	1	Hd-NeIhbYGc_43_48	The video shows two persons riding a horse in a paddock	A young girl with long brown hair is riding a white horse with brown spots	00:00:00	00:00:04	Outside, in a paddock	Another person with an helmet is riding a brown horse	00:00:04	00:00:05	Outside, in a paddock																																									
MSVD	1	ITNh8tWZPOA_5_25	The video shows a man sitting playing a guitar.	A man sit in a bed is playing a guitar	00:00:00	00:00:20	Inside, in a room, on a bed																																													
MSVD	1	LF51fban_x4_300_325	The video shows a man placing two pillows on a bed.	Close up of a bed in a room, without pillows	00:00:00	00:00:02	Indoor, in a room	A man, in the right side of the bed, places two pillows on the bed	00:00:02	00:00:08	Indoor, in a room	The man pulls the covers over the pillows.	00:00:08	00:00:12	Indoor, in a room	The man goes on the other part of the bed to cover the pillows on the right side	00:00:12	00:00:25	Indoor, in a room																																	
MSVD	1	lfGlDg47How_93_98	The video shows a close-up of someone, probably a man, adding a pack of butter or someting that seems cheese in a bowl	Close-up of somone putting a pack of butter (or similar) in a bowl, with two cans of chili behind the bowl	00:00:00	00:00:05	Inside, close-up in a kitchen																																													
MSVD	1	pGsU4FekJQM_10_18	The video shows a white dog lying on his back on the floor	Close-up of a white dog lying on his back on a parquet floor	00:00:00	00:00:07	Inside, on the floor																																													
MSVD	1	swKrHEeOj9c_4_8	The video shows a white cat looking at something on a wall	Close-up of a white cat looking at something on a wall	00:00:00	00:00:04	Inside, in a room																																													
MSVD	1	u9prcUCHlqM_73_80	The video shows a man with a bag, holding a photography or video tripod over his shoulder, while talking to the camera.	A man with a bag is holding a photography or video-making tripod on his shoulder and is talking to the camera	00:00:00	00:00:07	Outside, in a forest																																													
MSVD	1	UJKythlXAIY_17_21	The video shows a folkloric band of four people playing some instruments	A folkloric band of four people with purple and white uniforms is playing some instruments is a field	00:00:00	00:00:04	Ouside, in an open field																																													
MSVD	1	urXDqw3S34I_12_17	The video shows a convertible car speeding in a road.	A convertible car is driving down a road lined with trees.	00:00:00	00:00:04	Ouside, in a street	Images of three men in the convertible car	00:00:04	00:00:05	Ouside, in a car																																									
MSVD	1	UXs3eq68ZjE_49_54	The video shows someone pouring tomatoes sauce and mixing it	A person, probably a man, is pouring a tomatoes sauce from a can into a casserole over a cooking hob	00:00:00	00:00:01	Inside, close-up of a cooking hob	The person mixes the sauce with a wooden spoon	00:00:01	00:00:03	Inside, close-up of a cooking hob	The person taps the spoon against the pot to clean it	00:00:03	00:00:05	Inside, close-up of a cooking hob																																					
MSVD	1	WAa4-cctmDk_55_70	The video shows an old woman talking to the camera and rolling out the dough with a rolling pin	A old lady with a red sweater is talking to the camera	00:00:00	00:00:01	Close-up of the lady	The lady is kneading a dough and rolling out it with a rolling pin	00:00:01	00:00:11	Inside, close-up of the dough board	The woman is talking to the camera																																								
MSVD	1	x1i0UOssll8_141_151	The video shows a dolphin on the open sea taking some food	A dolphin tooks some food, probably a shing bait from a fishing rod and approaching a boat	00:00:00	00:00:10	Open sea, near a boat																																													
MSVD	1	XNV7hKVu-Xg_40_47	A scene from a old black and white movie showing some childres dressed as cowboys	Some children dressed as cowboys are riding horses	00:00:00	00:00:07	Outside, in an open field        																																													
MSVD	1	yBK02O1Oewc_20_35	The video shows some people in a factory making pretzels	Two men are preparing prexels	00:00:00	00:00:03	Inside, in a factory																																													
																																																				
																																																				
